timestamp,open,high,low,close,volume
1779148800,77001.88000000,77053.94000000,76955.99000000,76981.45000000,135.05764000
1779149100,76981.44000000,77084.00000000,76981.44000000,77052.26000000,29.24974000
1779149400,77052.26000000,77156.20000000,77052.26000000,77116.08000000,132.09356000
1779149700,77116.07000000,77205.32000000,77097.83000000,77205.32000000,12.80628000
1779150000,77205.32000000,77414.62000000,77205.31000000,77255.06000000,80.58589000
1779150300,77255.07000000,77279.79000000,77190.55000000,77213.18000000,39.29642000
1779150600,77213.18000000,77250.00000000,77213.18000000,77222.01000000,22.76318000
1779150900,77222.01000000,77265.64000000,77170.00000000,77176.17000000,21.73334000
1779151200,77176.17000000,77183.42000000,77124.67000000,77183.41000000,18.56308000
1779151500,77183.42000000,77232.49000000,77160.00000000,77229.25000000,21.62832000
1779151800,77229.24000000,77312.25000000,77184.46000000,77195.02000000,23.98199000
1779152100,77195.02000000,77212.34000000,77140.86000000,77140.87000000,18.67768000
1779152400,77140.86000000,77140.86000000,77046.24000000,77082.00000000,27.68797000
1779152700,77081.99000000,77121.94000000,77048.13000000,77116.68000000,20.61749000
1779153000,77116.68000000,77156.20000000,77086.00000000,77118.31000000,17.06917000
1779153300,77118.30000000,77131.43000000,76956.26000000,76983.03000000,56.42713000
1779153600,76983.02000000,76983.02000000,76884.91000000,76890.02000000,26.75853000
1779153900,76890.01000000,76890.02000000,76679.57000000,76765.54000000,121.46347000
1779154200,76765.54000000,76870.47000000,76681.29000000,76870.46000000,31.01735000
1779154500,76870.46000000,76930.00000000,76792.39000000,76792.39000000,276.47129000
1779154800,76792.39000000,76882.18000000,76759.99000000,76856.89000000,123.53221000
1779155100,76856.89000000,76864.68000000,76711.06000000,76729.32000000,24.22063000
1779155400,76729.31000000,76773.96000000,76717.06000000,76744.88000000,12.14849000
1779155700,76744.89000000,76744.89000000,76667.00000000,76667.01000000,32.04775000
1779156000,76667.01000000,76725.46000000,76487.83000000,76546.83000000,66.19452000
1779156300,76546.83000000,76684.85000000,76530.00000000,76624.44000000,28.85867000
1779156600,76624.43000000,76720.61000000,76624.43000000,76720.60000000,24.97259000
1779156900,76720.60000000,76790.00000000,76669.66000000,76767.98000000,33.13540000
1779157200,76767.99000000,76997.33000000,76767.99000000,76990.15000000,39.98667000
1779157500,76990.15000000,76991.18000000,76826.87000000,76826.87000000,42.23828000
1779157800,76826.86000000,76846.03000000,76770.38000000,76787.95000000,109.33649000
1779158100,76787.95000000,76804.75000000,76732.31000000,76784.52000000,19.39470000
1779158400,76784.52000000,76800.97000000,76740.66000000,76749.98000000,21.29218000
1779158700,76749.98000000,76789.23000000,76703.42000000,76763.33000000,27.85911000
1779159000,76763.34000000,76763.34000000,76608.86000000,76629.52000000,36.16351000
1779159300,76629.53000000,76665.73000000,76612.00000000,76617.47000000,19.59371000
1779159600,76617.46000000,76627.09000000,76586.11000000,76618.60000000,17.48821000
1779159900,76618.61000000,76699.88000000,76618.60000000,76699.88000000,20.61640000
1779160200,76699.88000000,76772.15000000,76683.47000000,76772.15000000,20.51770000
1779160500,76772.14000000,76867.23000000,76749.14000000,76764.68000000,38.77851000
1779160800,76764.68000000,76786.42000000,76693.63000000,76719.44000000,19.26906000
1779161100,76719.44000000,76757.22000000,76719.44000000,76748.62000000,4.99913000
1779161400,76748.63000000,76799.79000000,76748.62000000,76799.00000000,10.16196000
1779161700,76799.00000000,76829.16000000,76772.54000000,76817.93000000,16.96955000
1779162000,76817.93000000,76850.51000000,76800.00000000,76850.50000000,9.18361000
1779162300,76850.50000000,76853.52000000,76817.96000000,76828.21000000,19.69206000
1779162600,76828.21000000,76860.00000000,76788.59000000,76809.99000000,17.55701000
1779162900,76810.00000000,76817.04000000,76764.64000000,76787.11000000,16.60251000
1779163200,76787.10000000,76833.56000000,76732.84000000,76806.55000000,52.09340000
1779163500,76806.54000000,76856.77000000,76780.00000000,76856.77000000,23.27169000
1779163800,76856.77000000,76943.75000000,76856.76000000,76892.20000000,17.22146000
1779164100,76892.20000000,76892.21000000,76789.52000000,76789.53000000,22.81501000
1779164400,76789.52000000,76832.62000000,76715.98000000,76738.26000000,16.86778000
1779164700,76738.26000000,76738.26000000,76700.00000000,76735.79000000,9.36679000
1779165000,76735.80000000,76817.96000000,76735.80000000,76811.73000000,11.58761000
1779165300,76811.72000000,76888.77000000,76811.72000000,76848.01000000,35.41557000
1779165600,76848.00000000,76902.00000000,76848.00000000,76881.48000000,9.82244000
1779165900,76881.47000000,76919.30000000,76870.00000000,76899.18000000,16.98734000
1779166200,76899.18000000,76936.00000000,76882.31000000,76925.83000000,18.82801000
1779166500,76925.84000000,76936.00000000,76913.75000000,76927.25000000,5.44323000
1779166800,76927.25000000,76941.67000000,76869.44000000,76911.31000000,11.06939000
1779167100,76911.31000000,76924.74000000,76877.38000000,76924.73000000,8.54635000
1779167400,76924.74000000,76929.33000000,76842.92000000,76859.85000000,18.36407000
1779167700,76859.84000000,76860.77000000,76760.00000000,76760.00000000,19.58534000
1779168000,76760.00000000,76760.01000000,76644.98000000,76677.37000000,62.63295000
1779168300,76677.38000000,76817.83000000,76665.24000000,76817.82000000,31.35910000
1779168600,76817.82000000,76852.64000000,76752.82000000,76824.40000000,101.56139000
1779168900,76824.39000000,76943.00000000,76794.36000000,76921.40000000,21.11971000
1779169200,76921.41000000,77000.00000000,76912.13000000,76914.91000000,45.24238000
1779169500,76914.91000000,76986.41000000,76874.00000000,76962.96000000,24.42625000
1779169800,76962.96000000,76974.00000000,76921.72000000,76925.07000000,32.82189000
1779170100,76925.07000000,76933.74000000,76909.23000000,76911.24000000,15.70333000
1779170400,76911.25000000,76981.35000000,76886.13000000,76981.35000000,23.06136000
1779170700,76981.35000000,77000.00000000,76927.14000000,76989.71000000,51.23526000
1779171000,76989.71000000,77014.72000000,76937.05000000,76991.80000000,58.19946000
1779171300,76991.80000000,77006.87000000,76940.93000000,76975.18000000,41.31336000
1779171600,76975.18000000,77019.57000000,76970.00000000,76970.01000000,23.18951000
1779171900,76970.00000000,77045.61000000,76970.00000000,77009.99000000,21.75303000
1779172200,77009.99000000,77065.80000000,77000.00000000,77022.01000000,42.83832000
1779172500,77022.01000000,77063.23000000,76944.98000000,77061.40000000,44.23606000
1779172800,77061.39000000,77108.68000000,77044.05000000,77085.65000000,20.46263000
1779173100,77085.66000000,77085.66000000,77026.68000000,77065.79000000,27.09938000
1779173400,77065.80000000,77092.40000000,77060.00000000,77060.00000000,12.72790000
1779173700,77060.00000000,77075.00000000,77018.22000000,77029.40000000,19.99729000
1779174000,77029.41000000,77029.41000000,76974.72000000,76986.46000000,29.77070000
1779174300,76986.47000000,77129.87000000,76982.72000000,77081.42000000,37.20194000
1779174600,77081.42000000,77140.26000000,77031.82000000,77139.39000000,34.51047000
1779174900,77139.39000000,77215.08000000,77124.57000000,77202.75000000,43.52778000
1779175200,77202.74000000,77263.33000000,77144.45000000,77144.46000000,61.58640000
1779175500,77144.45000000,77156.52000000,77111.03000000,77140.39000000,52.92971000
1779175800,77140.40000000,77176.76000000,77135.15000000,77169.00000000,20.77128000
1779176100,77169.01000000,77234.59000000,77154.41000000,77198.43000000,44.20674000
1779176400,77198.43000000,77274.00000000,77185.03000000,77260.49000000,56.15504000
1779176700,77260.49000000,77278.46000000,77239.13000000,77257.03000000,54.73742000
1779177000,77257.04000000,77278.57000000,77222.50000000,77222.50000000,35.73215000
1779177300,77222.51000000,77245.62000000,77221.01000000,77233.69000000,19.06387000
1779177600,77233.68000000,77245.66000000,77184.56000000,77192.67000000,47.90596000
1779177900,77192.66000000,77192.66000000,77098.00000000,77098.00000000,20.31473000
1779178200,77098.01000000,77115.91000000,77051.17000000,77108.43000000,45.79313000
