timestamp,open,high,low,close,volume
1779753600,2113.01000000,2113.89000000,2111.41000000,2111.76000000,457.54810000
1779753900,2111.77000000,2112.83000000,2110.31000000,2111.24000000,196.12270000
1779754200,2111.23000000,2111.23000000,2110.28000000,2110.86000000,173.80180000
1779754500,2110.85000000,2111.93000000,2107.85000000,2109.39000000,433.32580000
1779754800,2109.40000000,2109.54000000,2107.13000000,2108.47000000,349.10170000
1779755100,2108.47000000,2108.47000000,2106.50000000,2106.50000000,348.04080000
1779755400,2106.50000000,2109.00000000,2105.19000000,2105.69000000,623.86960000
1779755700,2105.70000000,2105.70000000,2098.46000000,2100.67000000,2192.24890000
1779756000,2100.66000000,2100.66000000,2094.80000000,2096.35000000,1709.57110000
1779756300,2096.35000000,2099.78000000,2096.35000000,2098.53000000,992.34750000
1779756600,2098.54000000,2098.58000000,2084.83000000,2094.30000000,4905.87920000
1779756900,2094.30000000,2098.84000000,2094.29000000,2097.75000000,945.81060000
1779757200,2097.74000000,2097.74000000,2090.58000000,2091.44000000,752.74760000
1779757500,2091.45000000,2095.86000000,2091.28000000,2093.18000000,686.74170000
1779757800,2093.18000000,2100.50000000,2092.49000000,2098.98000000,817.21760000
1779758100,2098.98000000,2100.30000000,2097.49000000,2099.69000000,570.12570000
1779758400,2099.68000000,2100.14000000,2097.26000000,2098.17000000,301.14510000
1779758700,2098.17000000,2098.17000000,2094.59000000,2097.14000000,472.54120000
1779759000,2097.14000000,2097.14000000,2088.92000000,2090.40000000,1331.41870000
1779759300,2090.40000000,2093.49000000,2089.95000000,2091.75000000,759.71170000
1779759600,2091.74000000,2091.74000000,2088.03000000,2090.83000000,864.82560000
1779759900,2090.84000000,2095.43000000,2090.65000000,2094.41000000,673.93070000
1779760200,2094.40000000,2096.37000000,2094.27000000,2095.24000000,429.19790000
1779760500,2095.23000000,2096.03000000,2094.35000000,2094.35000000,364.36480000
1779760800,2094.36000000,2095.80000000,2090.03000000,2092.12000000,1103.53180000
1779761100,2092.12000000,2095.55000000,2091.93000000,2094.12000000,788.31990000
1779761400,2094.12000000,2095.10000000,2093.08000000,2093.73000000,329.25100000
1779761700,2093.73000000,2093.76000000,2090.57000000,2093.75000000,755.71170000
1779762000,2093.76000000,2094.04000000,2090.00000000,2091.57000000,670.32450000
1779762300,2091.57000000,2091.57000000,2088.82000000,2089.26000000,880.45930000
1779762600,2089.27000000,2090.26000000,2088.26000000,2089.98000000,709.52220000
1779762900,2089.98000000,2092.10000000,2088.91000000,2089.42000000,470.10880000
1779763200,2089.43000000,2090.29000000,2087.49000000,2087.81000000,453.27810000
1779763500,2087.82000000,2090.04000000,2084.79000000,2089.39000000,1592.87690000
1779763800,2089.38000000,2091.45000000,2088.99000000,2089.49000000,473.86150000
1779764100,2089.49000000,2090.04000000,2087.52000000,2088.83000000,249.36780000
1779764400,2088.83000000,2089.83000000,2087.51000000,2088.01000000,686.36220000
1779764700,2088.01000000,2089.11000000,2086.16000000,2086.90000000,268.96640000
1779765000,2086.90000000,2088.99000000,2085.30000000,2085.48000000,379.26680000
1779765300,2085.48000000,2087.51000000,2085.03000000,2085.80000000,782.63820000
1779765600,2085.80000000,2087.94000000,2085.72000000,2087.69000000,531.46660000
1779765900,2087.69000000,2088.25000000,2084.52000000,2088.25000000,291.61340000
1779766200,2088.26000000,2092.20000000,2087.58000000,2091.99000000,420.92250000
1779766500,2092.00000000,2093.84000000,2091.94000000,2092.52000000,796.80390000
1779766800,2092.52000000,2093.02000000,2092.12000000,2092.12000000,252.30630000
1779767100,2092.12000000,2092.13000000,2091.08000000,2092.00000000,200.79370000
1779767400,2092.00000000,2093.47000000,2091.70000000,2093.15000000,139.45220000
1779767700,2093.15000000,2093.21000000,2092.44000000,2093.12000000,116.25590000
1779768000,2093.11000000,2094.88000000,2091.32000000,2092.13000000,293.54970000
1779768300,2092.14000000,2092.25000000,2090.34000000,2090.82000000,271.39810000
1779768600,2090.81000000,2091.50000000,2089.87000000,2090.83000000,409.44420000
1779768900,2090.84000000,2091.15000000,2088.82000000,2089.01000000,221.60660000
1779769200,2089.02000000,2091.76000000,2089.00000000,2091.27000000,153.07500000
1779769500,2091.28000000,2094.44000000,2091.27000000,2093.94000000,185.12600000
1779769800,2093.95000000,2094.81000000,2093.38000000,2094.25000000,305.46410000
1779770100,2094.25000000,2095.69000000,2094.24000000,2094.44000000,177.38840000
1779770400,2094.44000000,2095.10000000,2094.18000000,2094.93000000,141.67860000
1779770700,2094.93000000,2095.73000000,2093.59000000,2094.50000000,790.19070000
1779771000,2094.49000000,2095.32000000,2094.48000000,2094.91000000,301.41760000
1779771300,2094.91000000,2096.45000000,2093.67000000,2093.67000000,398.81600000
1779771600,2093.68000000,2093.76000000,2092.05000000,2093.30000000,309.13090000
1779771900,2093.29000000,2094.88000000,2092.21000000,2094.20000000,748.82990000
1779772200,2094.20000000,2095.82000000,2094.08000000,2095.17000000,372.87460000
1779772500,2095.16000000,2097.00000000,2095.16000000,2096.99000000,694.07030000
1779772800,2096.99000000,2099.31000000,2096.75000000,2099.11000000,626.00960000
1779773100,2099.11000000,2099.12000000,2098.68000000,2098.69000000,81.19650000
1779773400,2098.68000000,2099.31000000,2098.25000000,2099.15000000,501.18400000
1779773700,2099.16000000,2103.65000000,2099.16000000,2103.00000000,1332.47000000
1779774000,2103.00000000,2103.21000000,2101.13000000,2102.67000000,158.89700000
1779774300,2102.67000000,2102.67000000,2100.00000000,2100.01000000,250.87040000
1779774600,2100.01000000,2100.28000000,2098.31000000,2098.73000000,569.51900000
1779774900,2098.73000000,2100.92000000,2098.73000000,2100.91000000,284.01340000
1779775200,2100.90000000,2100.91000000,2098.19000000,2099.85000000,188.03430000
1779775500,2099.86000000,2101.34000000,2099.44000000,2101.04000000,301.93640000
1779775800,2101.04000000,2101.04000000,2099.09000000,2100.19000000,242.84270000
1779776100,2100.19000000,2100.49000000,2099.35000000,2099.74000000,290.97720000
1779776400,2099.75000000,2100.46000000,2097.90000000,2099.50000000,401.80720000
1779776700,2099.50000000,2100.55000000,2094.78000000,2096.98000000,802.90310000
1779777000,2096.99000000,2098.12000000,2096.99000000,2097.92000000,330.78380000
1779777300,2097.93000000,2102.00000000,2097.92000000,2102.00000000,512.83300000
1779777600,2102.01000000,2104.65000000,2101.52000000,2102.70000000,423.78720000
1779777900,2102.70000000,2102.70000000,2101.35000000,2101.56000000,401.96820000
1779778200,2101.56000000,2102.72000000,2101.26000000,2102.45000000,220.86340000
1779778500,2102.44000000,2103.13000000,2101.72000000,2101.73000000,292.20940000
1779778800,2101.73000000,2102.63000000,2100.25000000,2100.25000000,159.47060000
1779779100,2100.24000000,2100.24000000,2096.57000000,2096.57000000,389.03010000
1779779400,2096.56000000,2096.90000000,2093.47000000,2094.07000000,440.33410000
1779779700,2094.08000000,2095.81000000,2090.65000000,2095.80000000,1780.21120000
1779780000,2095.80000000,2096.54000000,2094.79000000,2096.54000000,291.61880000
1779780300,2096.54000000,2097.71000000,2096.34000000,2097.31000000,368.69240000
1779780600,2097.31000000,2097.70000000,2094.14000000,2095.21000000,1127.66960000
1779780900,2095.21000000,2095.21000000,2093.11000000,2094.05000000,872.95460000
1779781200,2094.06000000,2096.52000000,2094.05000000,2095.83000000,585.27700000
